"","names","indirizzi","cap"
"1","Bovi RE ","Piazza Cavour 25",193
"2","P.E.B. GESTIONI IMMOBILIARI S.R.L.","Via Mar della Cina 304",144
"3","Mas Service srl","via Domenico Jachino 73",144
"4","RealEs Group S.r.l","Via colli della farnesina 74",135
"5","Immobilmare di Pittiglio Claudio & C. Sas","Via Anco marzio 83",54
"6","IN VISTA RE","Via Nizza 67",198
"7","RE/MAX Diamond","via Davide Campari 172",155
"8","Immobiliare Angiolini Christian","Via Appia Nuova 465",181
"9","Agenzia Immobiliare Gruppo Casa Re - Ladispoli -","Via Trieste  53",55
"10","Mediasim S.r.l.","Piazza Fernando de Lucia 37",139
"11","nodo immobiliare srl","via di pietralata 157",158
"12","Gabetti - Agenzia Roma Trieste","Via Tagliamento 59/61",198
"13","Grimaldi Roma Appia","
",NA
"14","Realty Advisory S.p.A.","Via Sardegna 50",187
"15","Book immobiliare affiliata Studio Puntoverde","Via Padre G.A. Filippini 130",144
"16","Frimm Di Cesare","via Franco Sacchetti 80/82",137
"17","Agenzia Immobiliare Laurentina Pomezia","Via Roma 64",40
"18","Gabetti - Agenzia San Paolo - ROMA","Viale Leonardo da Vinci 149",145
"19","CARMEN IMMOBILIARE","via palermo 5F",48
"20","Affiliato Tecnocasa: STUDIO TOR LUPARA S.R.L.","via nomentana  614a",13
"21","CasaNet Agency-Setteville Team srls","Via G.Leopardi  1",12
"22","BROKER IMMOBILIARE","Via Selva Candida 11",166
"23","Affiliato Frimm - Alpa Immobiliare s.r.l.s.","via sestio calvino  35",174
"24","Qubic Realty","Via Etiopia  1",44
"25","Sistemia SPA","Via Valadier 42",193
"26","Studio Legale Avv. Luca Luffarelli","V.le G. Oberdan n° 22",49
"27","Centro Aste Giudiziarie Roma Nord-Est Montesacro","Via Nicola Marchese 10 Montesacro (RM) 10",141
"28","TFT Building Management","Viale Parioli   37/A",197
"29","Onorati Immobiliare","Via Cavour 71",12
"30","UniCredit Subito Casa Centro","Sede Roma-SedeLegale ViaBroletto (MI) 16",20124
"31","STUDIO CONSULENZA LEGALE NICOTRA","via Giovanni Farina 17",40
"32","Mariani Rei srl","Via JF Kennedy  52",43
"33","Frimm Axa - Acilia - Madonnetta","Via Cesare Maccari 306",125
"34","Coldwell Banker Immobiliare Gruppo Futura","Via Panama 100",198
"35","Istituto Immobiliare Italia","Via Matteotti 16",40
"36","REMAX Abacus","Via Boezio 2",193
"37","Casaincontro srl","Via di Priscilla 118",199
"38","Centro Aste Giudiziarie di Roma","Via delle Medaglie d'Oro  110",136
"39","Borsinonet ","Via Collalto Sabino 128",199
"40","Studio Consulenza De Angelis e Bracigliano Srls ","Via Roma 107",40
"41","Global Lux International Immobiliare Italian Properties","piazza Barberini  21a 21b",187
"42","roma immobiliare","piazza verbano  1",199
"43","RE/MAX Link","Via Monte Zebio 32",195
"44","Aries Gruppo Immobiliare","Via Gandiglio 125-Via di Casalpalocco 22",151
"45","STUDIO IMMOBILIARE CORONARI SRL","PIAZZA S. SALVATORE IN LAURO 12",186
"46","GRUPPO CASA RE","VIALE AVENTINO 47/49/51/5",153
"47","Colossea","Via Umberto Giordano  154",124
"48","COLLALTI IMMOBILIARE ","Via Gramsci 71",48
"49","Logica Immobiliare","via vecchia di grottaferrata 22",47
"50","immobiliare lavagnini","via delle sorgenti 101",46
"51","Studio Immobiliare Casa srl Affiliato Frimm","via del fontanile nuovo  11/13",135
"52","IMMOBILI DI PRESTIGIO SRL","Via Po 37",198
"53","Filiale di Roma-Valmontone","Via Sant'Antonio 25",38
"54","Immobiliare Sanna s.r.l.","Via Giacomo Matteotti 80",53
"55","immobiliare Alessandra","Via Bernini  6",53
"56","simona ippoliti immobiliare","via g. sacconi 19",196
"57","RE/MAX Urbest"," Via Mario Menghini 34 D/E/F",179
"58","GELUSO IMMOBILIARE di Geluso Giuseppe","VIA DEI LATINI 20",48
"59","Aste Consulting","via costantino morin  1",195
"60","Società Immobiliare Romana","Via Panisperna 207",184
"61","Immobildream","Via Dora 2",198
"62","Cutolo Maurizio  www.casainroma.it","viale carnaro 15/A",141
"63","Contorno Immobiliare s.a.s. di Contorno Claudio","via jaime pintor 19",137
"64","Di Porto Immobiliare ","Via Calabria 25",187
"65","CREDITO IMMOBILIARE ROMA S.R.L.","via ezio 19",192
"66","FRIMM MONTESACRO","VIA VAL D'OSSOLA 118",141
"67","corsini real estate","via eustachio manfredi  21",197
"68","Eticasi Specialist","Via Panaro 25",199
"69","Progeacasa - Affiliato FRIMM -","viale delle Gardenie 4-6-8",172
"70","IMMOBILART","Via Maremmana Inf. 107",12
"71","Consulenza Tecnica Immobili Srl","Via Sardegna 43",187
"72","ALPHA IMMOBILIARE","Piazza di San Cosimato 67",153
